varname,short10
NT1,NT1
NT1mod070,NT1mod0
NT1mod071,NT1mod1
NT2,NT2
NT2mod070,NT2mod0
NT2mod071,NT2mod1
AOArdi070,AOArdi0
AOArdi070wRSL,AOArdi0wrsl
AOArdi070wRST,AOArdi0wrst
AOArdi071,AOArdi1
AOArdi071wRSL,AOArdi1wrsl
AOArdi071wRST,AOArdi1wrst
NT1_isnovel,NT1n
NT1mod070_isnovel,NT1mod0n
NT1mod071_isnovel,NT1mod1n
NT2_isnovel,NT2n
NT2mod070_isnovel,NT2mod0n
NT2mod071_isnovel,NT2mod1n
AOArdi070_isnovel,AOArdi0n
AOArdi070wRSL_isnovel,AOArdi0wrsln
AOArdi070wRST_isnovel,AOArdi0wrstn
AOArdi071_isnovel,AOArdi1n
AOArdi071wRSL_isnovel,AOArdi1wrsln
AOArdi071wRST_isnovel,AOArdi1wrstn
